t,mse
0.0,0.9810918722980305
0.20408163265306123,1.0249668561747811
0.40816326530612246,0.9037972487446535
0.6122448979591837,0.9216268225747132
0.8163265306122449,0.8026849325678185
1.0204081632653061,0.8051239276540815
1.2244897959183674,0.7352833073813906
1.4285714285714286,0.7345256392802578
1.6326530612244898,0.763437697227626
1.836734693877551,0.6062033030455802
2.0408163265306123,0.6865915018816888
2.2448979591836737,0.6501659047820492
2.4489795918367347,0.58304393495291
2.6530612244897958,0.5159418168642894
2.857142857142857,0.5683245973934528
3.0612244897959187,0.515657834466775
3.2653061224489797,0.5320839315884373
3.4693877551020407,0.5007275553737316
3.673469387755102,0.5597412133960901
3.8775510204081636,0.448501006628116
4.081632653061225,0.3908776673927324
4.285714285714286,0.43333662742476575
4.4897959183673475,0.41840007518226247
4.6938775510204085,0.459065826887364
4.8979591836734695,0.4172198806178939
5.1020408163265305,0.37829134155529653
5.3061224489795915,0.41919698291420393
5.510204081632653,0.27275429496097103
5.714285714285714,0.286918980686483
5.918367346938775,0.25982323322235445
6.122448979591837,0.2744171247837334
6.326530612244898,0.21331860220128257
6.530612244897959,0.30262587581118366
6.73469387755102,0.24892393434860835
6.938775510204081,0.17609476663531803
7.142857142857143,0.18887208238139871
7.346938775510204,0.24574199136631883
7.551020408163265,0.2627712272851874
7.755102040816327,0.3118680493084058
7.959183673469388,0.3492445215591778
8.16326530612245,0.21613092157352595
8.36734693877551,0.1381181891957872
8.571428571428571,0.07348999811138694
8.775510204081632,0.18627517271290883
8.979591836734695,0.12532790158803953
9.183673469387756,0.13856899820754898
9.387755102040817,0.12235941381223056
9.591836734693878,0.13980697161596548
9.795918367346939,0.1942724658725102
10.0,0.14318771160887991
