t,value
1,0.09429734931294131
2,0.09177479407057186
3,0.08610635495389463
4,0.08231142495662017
5,0.07848312300954181
6,0.07489547229971366
7,0.07099327841934197
8,0.06572226751545458
9,0.06485691258317303
10,0.059771215834008004
11,0.057706758107139
12,0.05593229021676581
13,0.051642514290441484
14,0.049996120743872434
15,0.047039846175513406
16,0.04651180815840386
17,0.04343313202918196
18,0.040862683598106735
19,0.04091777410195329
20,0.0395321224067824
21,0.035384644033276604
22,0.03324578110125415
23,0.032321743771316004
24,0.03165614936394763
25,0.028825638055143158
26,0.028142270548275308
27,0.026871763906443046
28,0.026584434218154616
29,0.023501361040300355
30,0.023229676387094923
31,0.02121264635308433
32,0.020365111057676435
33,0.02053111583689197
34,0.018916844457565116
35,0.019328286392212617
36,0.017708600451605185
37,0.016389935488937395
38,0.017038347508974407
39,0.015388055937526145
40,0.015057989545779965
41,0.013855189748492508
42,0.014191438529510814
43,0.01428823015722078
44,0.012639372948328623
45,0.01114098218934567
46,0.01146247405343724
47,0.011076910025968353
48,0.00935098277238544
49,0.011318106041230925
50,0.008689374928566224
51,0.009856648546887309
52,0.008760911517613932
53,0.00958068173140548
54,0.007446345891080219
55,0.006958085548944107
56,0.006265859541957637
57,0.004893461001030292
58,0.00638641516325397
59,0.006636118695308132
60,0.006987841389168997
61,0.005732620890455025
62,0.006779621066204121
63,0.00418917668607224
64,0.006718680717810347
65,0.0034399504316737946
66,0.00517646328048924
67,0.004231594053209402
68,0.004546850465593508
69,0.0036612229299049005
70,0.005806748094063265
71,0.004310158221936313
72,0.0039772898636730595
73,0.003218439258576681
74,0.0029288968896993106
75,0.000992969341224064
76,0.003749253741695588
77,0.0018353131348853378
78,0.0031450029648992578
79,0.0029210905510396144
80,0.0038776905902861316
