t,value
1,0.09690315179311987
2,0.09302643335845642
3,0.0892047307756533
4,0.08338729652670757
5,0.0803289684532461
6,0.0780212135608857
7,0.0728570661556883
8,0.0709138774916697
9,0.06837657670417494
10,0.06423382693083675
11,0.060876161171331454
12,0.059365117547834044
13,0.056622138049537724
14,0.05459868697220136
15,0.052264297798320834
16,0.04939422791996264
17,0.04783403341546796
18,0.04522802966725071
19,0.04397135418531287
20,0.04088734329828283
21,0.03980953178693585
22,0.03719793530860833
23,0.037145836339222936
24,0.03511927920584899
25,0.03330228870931995
26,0.03172131742838274
27,0.02942126035664183
28,0.028675060852420386
29,0.027489929009146485
30,0.0267961757581492
31,0.02598351752751745
32,0.02360193122418665
33,0.02247960009596476
34,0.022611464526362906
35,0.020638366784721238
36,0.020466679091367037
37,0.01876804130279202
38,0.01803295333244421
39,0.0185700599168998
40,0.017424385419142624
41,0.016718497565494584
42,0.016397640676349478
43,0.015585960332347283
44,0.01547502944712836
45,0.013790008758331525
46,0.01241463796380247
47,0.013053590715620747
48,0.013162492974384403
49,0.012094727476595573
50,0.01177460201704492
51,0.011355771055034202
52,0.010240231275609461
53,0.009090841309543029
54,0.009841504375974747
55,0.00993163749992561
56,0.008631164106853268
57,0.00930686821905163
58,0.008762780699319593
59,0.0071666493734148465
60,0.007057413403395006
61,0.006297567352172198
62,0.006960475300279918
63,0.0060550846934708455
64,0.0065097376809293535
65,0.006387922403621113
66,0.0058522469342995416
67,0.0059943170075803945
68,0.004680817882686066
69,0.00452570627616227
70,0.005631137833987819
71,0.005360393228835344
72,0.005774805963040388
73,0.0054561187898767086
74,0.004883430709570224
75,0.005116167747841931
76,0.003220321165709649
77,0.00308830488980025
78,0.004306884789993394
79,0.004035588466020284
80,0.0027089594220646098
81,0.0035026062695909955
82,0.004277223073153101
83,0.0025772374087862514
84,0.0036399912014334086
85,0.003913385665392307
86,0.002426042601321268
87,0.003086625508007357
88,0.0030976671855084854
89,0.0024321780793373354
90,0.002191771011432932
91,0.0018612213360336186
92,0.0023353160161762062
93,0.0028287634100935114
94,0.0018250416418876976
95,0.001764660302169097
96,0.001885812093454056
97,0.002229394797481974
98,0.00218302410505959
99,0.0022896787821223216
100,0.0020767756707014513
101,0.0024201317890928742
102,0.0023352686170999898
103,0.0018823351217431578
104,0.0027498810490255896
105,0.0027655758491131254
106,0.001203718703149131
107,0.0022576377678322716
108,0.002242557541877984
109,0.0016707795219439697
110,0.0015442529297502124
111,0.002037728931921226
112,0.002600139827508679
113,0.0019754769045698516
114,0.0023372035668506094
115,0.0018796279113888704
116,0.0015266769142166833
117,0.0023365948662975437
118,0.0019971968355778514
119,0.0010451134799395428
120,0.0004436479054351619
